Symbol,Name,IndustryCode,Industry,Sector
NRXS,Neuraxis Inc,56101020,"의료 장비, 물품 및 유통",
BRN,Barnwell Industries Inc,50102020,"오일, 가스 탐사 및 생산",
PCG PR E,Pacific Gas and Electric 5% 1st Redeemable Pref Shs Series A,59101010,전력 유틸리티,
COHN,Cohen & Company Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공",
GPUS,Hyperscale Data Inc,57201020,소프트웨어,
DDC,DDC Enterprise Ltd,54102020,식품 가공,
PHGE,Biomx Inc,56202010,생명 공학 및 의학 연구,
PCG PR G,Pacific Gas and Electric 4.8% 1st Pref Shs,59101010,전력 유틸리티,
GRFX,Graphex Group Ltd ADR,51101030,특수 화학제,
AIRI,Air Industries Group,52101010,항공우주 및 방위,
CVR,Chicago Rivet & Machine Co,53101020,"자동차, 트럭 및 오토바이 부품",
KAPA,Kairos Pharma Ltd,56202010,생명 공학 및 의학 연구,
PLAG,Planet Green Holdings Corp,54102020,식품 가공,
AWX,Avalon Holdings Corp,52203010,환경 서비스 및 장비,
NCL,Northann Corp,53203020,건설 자재 및 비품,
MI,Nft Ltd,57201030,온라인 서비스,
PCG PR H,Pacific Gas and Electric 4.5% 1st Pref Shs,59101010,전력 유틸리티,
ZONE,CleanCore Solutions Inc,54201010,가정용 제품,
TPET,Trio Petroleum Corp,50102010,통합 오일 및 가스,
CHRO,Channel Therapeutics Corp,56202010,생명 공학 및 의학 연구,
MSN,Emerson Radio Corp,53204030,"가전제품, 도구 및 가정 용품",
MWG,Multi Ways Holdings Ltd,52203040,경영 지원 서비스,
BLUA.U,Blueriver Acquisition Units,55601010,투자 지주 회사,
VINE,Fresh Vine Wine Inc,54101020,증류주 및 포도주,
AMBO,Ambow Education Holding Ltd ADR,63102010,"초, 중, 고등 교육기관",
RYDE,Ryde Group Ltd,57201020,소프트웨어,
PCG PR C,Pacific Gas and Electric 5% 1st Pref Shs,59101010,전력 유틸리티,
AIM,AIM ImmunoTech Inc,56202010,생명 공학 및 의학 연구,
MMA,Mixed Martial Arts Group Ltd,53301040,여가 및 오락시설,
PCG PR I,Pacific Gas and Electric 4.36% 1st Pref Shs,59101010,전력 유틸리티,
ATCH,Atlasclear Holdings Inc,57301090,기타 핀테크 인프라,
SSY,SunLink Health Systems Inc,54301010,의약품 소매,
IBO,Impact Biomedical Inc,56202010,생명 공학 및 의학 연구,
EONR,EON Resources Inc,50102020,"오일, 가스 탐사 및 생산",
